id,otázka,popis,Michal Gill,🟡 Markéta Gregorová,David František Wagner,Věra Mikušová,Viktor Velek,Petr Slanina,🟡 Mikuláš Ferjenčík,Vladimír Votápek,🟡 Marcel Kolaja,🟡 Albert Štěrba,Jana Skopalíková,Andrea Hoffmannová,Jiří Knotek,Zuzana Klusová,Eva Tichá,Ondřej Melena,Viktor Tichák,Matej Petrík,Jan Břížďala,Jan Hora,Tomáš Guth Jarkovský,Olga Sejrková,Martin Štěrba,Jakub Rychlý,Josef Bouše,Adam Piechowicz,Miloslava Karfilátová,Filip Jiroušek,Tomáš Polák,Šárka Rousová,Marek Lahoda,Milada Slouková,Marek Habruň,František Kopřiva,Tomáš Adamec,Jana Holomčík Leitnerová,Marta Martinová,Tereza Nislerová,Pavel Podgorný,Vítězslav Adamec,Veronika Hažlinská,Zuzana Kudláčková,Martin Rota,Filip Křistek,František Doseděl
1,Měli by být žadatelé o azyl rozmísťováni rovnoměrně napříč všemi členskými státy?,"Cílem členských států je vytvořit účinnou, humanitární a bezpečnou evropskou migrační politiku. Z toho vyplývá snaha, aby žadatelé o azyl rovnoměrně zatěžovali všechny členské státy a ne zejména jen ty hraniční. Aktuálně přijatá pravidla EP situaci řeší jen v částečné míře, neboť umožňují dalším zemím místo nutnosti vyřídit azylové řízení za daný stát jen zaplatit příspěvek na vyřízení žádosti o azyl v původní zemi a ponechat tak většinu zátěže na zemích jako je Řecko nebo Itálie, kde byl počet žadatelů o azyl nejvyšší.",Ano,Ne,Ne,Nevím / Jiná odpověď,Nevím / Jiná odpověď,Ano,Ne,Ano,Ne,Nevím / Jiná odpověď,Nevím / Jiná odpověď,Ne,Ne,Ne,Ne,Ano,Nevím / Jiná odpověď,Ne,Ne,Ano,Ne,Ano,Ano,Ne,Ano,Ne,Ne,Ano,Ne,Ano,Nevím / Jiná odpověď,Ne,Ne,Ano,Ne,Ano,Ano,Ne,Ne,Nevím / Jiná odpověď,Nevím / Jiná odpověď,Ne,Ano,Ne,Nevím / Jiná odpověď
2,Měly by být podmínky pro udělení azylu ve všech členských státech stejné?,"Podle zastánců by sjednocení podmínek pro udělení azylu zamezilo přesouvání lidí hledajících azyl z jedné země EU do jiné. Odpůrci naopak argumentují, že situace se liší v jednotlivých státech, proto by regulace udělování azylu měla zůstat na národní úrovni. Případné sjednocení podmínek bude nutně v některých zemích znamenat zpřísnění a jinde naopak uvolnění, protože to ale není předmětem otázky, tak pro zjednodušení předpokládejme, že by v případě sjednocení byly podmínky nastaveny na úrovni podobné situaci v České republice.",Ano,Ano,Ano,Ne,Ano,Ano,Ne,Ano,Ano,Ne,Ano,Ne,Ne,Ne,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ne,Ne,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ne,Ano,Ano,Ano,Ne,Ano,Ano,Ne,Ne,Ne
3,Měla by EU usilovat o vytvoření společné evropské armády?,"V současné době konkrétní návrh na vytvoření jednotné evropské armády neexistuje. Pro její vytvoření se v minulosti vyslovila například Francie a Německo. Společná evropská obrana zatím spočívá v podpoře investic do výzkumu a vývoje a spolupráci mezi vojáky jednotlivých členských zemí. Relativně novým projektem je stálá strukturovaná spolupráce při nákupech výbavy nebo vývoji technologií (PESCO), jíž se účastní i Česko. Kritici varují, že EU nebyla nikdy míněna jako vojenský projekt a že evropská armáda by do určité míry mohla konkurovat Severoatlantické alianci (NATO). Podle obhájců je možné se vzájemnému „překážení si“ obou organizací vyhnout, ale vývoj bezpečnostní situace v Evropě i ve světě naopak vyžaduje, aby Evropa byla obranyschopnější.",Ano,Ano,Nevím / Jiná odpověď,Ne,Ano,Ne,Ano,Ano,Ano,Ano,Ano,Ne,Ano,Ano,Nevím / Jiná odpověď,Ano,Ne,Ano,Ne,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Nevím / Jiná odpověď,Ano,Ano,Ano,Ne,Nevím / Jiná odpověď,Ano,Ano,Ano,Ano,Ne,Ano,Ano,Nevím / Jiná odpověď,Ano,Ano,Ne,Ano,Ano
4,Měla by agentura Frontex přebírat další pravomoci ohledně ochrany vnějších hranic EU?,"Evropská agentura pro pohraniční a pobřežní stráž (Frontex) byla zřízena v roce 2004 s cílem pomoci členským státům EU a zemím přidruženým k Schengenu chránit vnější hranice prostoru volného pohybu EU. Frontex je operativní agentura s více než 1 500 pracovníky z členských států, kteří jsou kdykoli nasazováni v celé EU. Její odpovědností je zejména posílení ochrany vnějších hranic Schengenu, boj proti přeshraniční trestné činnosti, námořní operace ve Středomoří, monitoring rizik nebo hodnocení zranitelnosti členských zemí.",Ano,Ano,Ne,Nevím / Jiná odpověď,Nevím / Jiná odpověď,Ano,Ano,Nevím / Jiná odpověď,Nevím / Jiná odpověď,Ano,Ne,Nevím / Jiná odpověď,Ano,Ano,Ano,Ano,Ne,Ano,Ne,Ano,Ano,Ne,Nevím / Jiná odpověď,Nevím / Jiná odpověď,Nevím / Jiná odpověď,Nevím / Jiná odpověď,Ano,Ano,Ne,Ne,Ano,Ne,Ano,Ne,Ne,Ano,Ne,Ano,Ano,Ne,Ano,Ano,Ano,Nevím / Jiná odpověď,Ano
5,"Měla by existovat možnost celoevropského referenda, v němž by mohli hlasovat všichni občané EU?","Český občan může vyvolat referendum na místní a krajské úrovni, nikoli na celostátní nebo celoevropské. Podle zastánců by zavedení evropského referenda zvýšilo možnost občanů rozhodovat, podle odpůrců by bylo nákladné a mohlo by vést k přijímání populistických opatření.",Ne,Ano,Ano,Ano,Ano,Ne,Nevím / Jiná odpověď,Ano,Ano,Ne,Ano,Nevím / Jiná odpověď,Ne,Ne,Ne,Nevím / Jiná odpověď,Ne,Ano,Ano,Ne,Ano,Ne,Ano,Ano,Ne,Ano,Ne,Ano,Ne,Ano,Ano,Ano,Ne,Ne,Ano,Ne,Ano,Ne,Nevím / Jiná odpověď,Ano,Ne,Ne,Ne,Ano,Ano
6,"Měla by EU více využívat nástroj pro omezení finančních dotací pro členskou zemi, která prokazatelně porušuje svobodu tisku?","EU může potrestat členskou zemi v případě, že nedodržuje základní hodnoty EU, mezi které patří i svoboda médií. Jde o relativně složitý proces, na kterém se musí jednomyslně shodnout zbylé státy. Evropský parlament v roce 2018 spustil tento proces u Maďarska a v roce 2022 vyjádřil politování nad neschopností Rady dosáhnout smysluplného pokroku v boji proti úpadku demokracie.",Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Nevím / Jiná odpověď,Ano
7,Měl by Evropský parlament získat pravomoc vytvářet zákony?,"Evropský parlament (EP), na rozdíl od národního parlamentu, nemůže předkládat sám nové zákony, pouze je schvaluje. Zastánci posilování pravomocí argumentují, že EP přispívá k posilování evropské demokracie a jako jedinná evropská instituce je přímo volená evropskými občany - měl by mít tedy pravomoci větší. Kritici říkají, že národní parlamenty by tak ztratily část svých pravomocí a že EP nemá kapacity navrhovat zákony. Evropský parlament např. může přijímat a měnit právní předpisy a rozhoduje o rozpočtu EU. Nemůže ale žádnou novou legislativu sám navrhovat, pouze k tomu vyzvat Evropskou komisi, která má jediná monopol na navrhování zákonů na úrovni EU. Otázka souvisí i s případnou změnou hlasování v Radě z jednomyslnosti na kvalifikovanou většinu.",Ano,Ano,Ano,Nevím / Jiná odpověď,Ano,Ano,Ne,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ne,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ano,Ne,Ano,Ano,Ano,Ano,Ano,Ne,Ano,Ano,Ano,Ano,Ano,Ne,Ano,Ano,Ne,Ne,Ne,Ne,Ne
8,Měl/a by být předseda/kyně Evropské komise volen/a v přímých volbách všemi občany EU?,"Přímá volba předsedy/kyně komise by podle zastánců měla zvýšit úroveň demokracie v EU a zvýšit zájem občanů o EU. Její kritici argumentují, že přímá volba nepřináší žádné řešení současných problémů, ani nezvyšuje důvěryhodnost EU.",Ano,Nevím / Jiná odpověď,Nevím / Jiná odpověď,Ano,Ano,Ne,Ne,Ne,Ano,Ne,Ano,Ano,Ne,Ne,Ne,Ne,Ne,Ano,Ne,Ne,Ne,Ne,Nevím / Jiná odpověď,Ano,Ano,Ano,Ne,Ano,Ano,Ano,Ne,Ne,Ne,Ano,Ano,Ne,Ne,Ne,Nevím / Jiná odpověď,Ne,Ne,Ne,Ne,Ne,Ne
9,Měl by mít každý členský stát v radě EU a v Evropské radě právo veta?,"Dnešní rozhodování rady EU a Evropské rady vyžaduje v některých případech konsensus všech států, jedná se zejména o společnou zahraniční a bezpečnostní politiku, harmonizaci právních předpisů týkajících se nepřímých daní, finance EU, některá ustanovení v oblasti spravedlnosti a vnitřních věcí nebo o oblasti sociální ochrany a sociálního zabezpečení. To někdy výrazně omezuje akceschopnost společných evropských rozhodnutí nebo vyvolává snahu zobchodovat hlasování za jiné - v další věci. Zároveň ale jednomyslnost posiluje pravomoce členských států a jejich suverenitu, protože členský stát nemůže být přehlasován v záležitosti, již považuje za klíčovou. Otázka nesměřuje k omezení jednomyslnosti v případech přistoupení členského státu nebo věcí týkajících se základních evropských smluv.",Ne,Ne,Ne,Nevím / Jiná odpověď,Ne,Ano,Ano,Ne,Ne,Ano,Ne,Ne,Ne,Ne,Ne,Ne,Nevím / Jiná odpověď,Ne,Ano,Ne,Ne,Ano,Ano,Ne,Ne,Ne,Ne,Ne,Ne,Ano,Ne,Ne,Ne,Ne,Ne,Ne,Ne,Ano,Ne,Ne,Nevím / Jiná odpověď,Ne,Ne,Ano,Ano
10,"Mělo by být Maďarsko vyloučeno z EU, pokud bude pokračovat v destrukci demokratického právního státu?","Maďarsko již čelí krácení financování za porušování zásad právního státu a samo se označuje za neliberální demokracii. Jsou zpochybňovány změny jeho volebních zákonů a potlačování opozice. V případě snahy jej vyloučit by se musel vytvořit mechanismus, který nyní přístupové smlouvy zcela nepředpovídají.",Ano,Nevím / Jiná odpověď,Ano,Ano,Ne,Nevím / Jiná odpověď,Ano,Ano,Ne,Ne,Ano,Ano,Ano,Nevím / Jiná odpověď,Ano,Nevím / Jiná odpověď,Ne,Nevím / Jiná odpověď,Ano,Ne,Ano,Ano,Ano,Ne,Ne,Ano,Nevím / Jiná odpověď,Ne,Ne,Ano,Ano,Ano,Ne,Ne,Ne,Ano,Ano,Ne,Nevím / Jiná odpověď,Ano,Ano,Ano,Nevím / Jiná odpověď,Ne,Ano
